,ORIGIN,count,City: Airport,name,matched_name,urls
104,MDT,230,"Harrisburg, PA: Harrisburg International", Harrisburg International Airport,Harrisburg International Airport,https://www.airlinequality.com/airport-reviews/harrisburg-airport
105,GRB,224,"Green Bay, WI: Green Bay Austin Straubel International", Green Bay Austin Straubel International Airport,Austin Straubel International Airport,https://www.airlinequality.com/airport-reviews/green-bay-airport
106,STT,224,"Charlotte Amalie, VI: Cyril E King", Cyril E King Airport,Cyril E. King Airport,https://www.airlinequality.com/airport-reviews/st-thomas-airport
107,RAP,219,"Rapid City, SD: Rapid City Regional", Rapid City Regional Airport,Rapid City Regional Airport,https://www.airlinequality.com/airport-reviews/rapid-city-regional-airport
108,ATW,211,"Appleton, WI: Appleton International", Appleton International Airport,Appleton International Airport,https://www.airlinequality.com/airport-reviews/outagamie-county-airport
109,JAC,206,"Jackson, WY: Jackson Hole", Jackson Hole Airport,Jackson Hole Airport,https://www.airlinequality.com/airport-reviews/jackson-hole-airport
110,PSC,204,"Pasco/Kennewick/Richland, WA: Tri Cities", Tri Cities Airport,Tri-Cities Airport,https://www.airlinequality.com/airport-reviews/tri-cities-airport
111,PGD,200,"Punta Gorda, FL: Punta Gorda Airport", Punta Gorda Airport,Punta Gorda Airport,https://www.airlinequality.com/airport-reviews/punta-gorda-airport
112,CRP,192,"Corpus Christi, TX: Corpus Christi International", Corpus Christi International Airport,Corpus Christi International Airport,https://www.airlinequality.com/airport-reviews/corpus-christi-airport
113,BIS,186,"Bismarck/Mandan, ND: Bismarck Municipal", Bismarck Municipal Airport,Bismarck Municipal Airport,https://www.airlinequality.com/airport-reviews/bismarck-airport
114,FAI,186,"Fairbanks, AK: Fairbanks International", Fairbanks International Airport,Fairbanks International Airport,https://www.airlinequality.com/airport-reviews/fairbanks-airport
115,MOB,185,"Mobile, AL: Mobile Regional", Mobile Regional Airport,Mobile Regional Airport,https://www.airlinequality.com/airport-reviews/mobile-regional-airport
116,MRY,175,"Monterey, CA: Monterey Regional", Monterey Regional Airport,Monterey Regional Airport,https://www.airlinequality.com/airport-reviews/monterey-regional-airport
117,GPT,174,"Gulfport/Biloxi, MS: Gulfport-Biloxi International", Gulfport-Biloxi International Airport,Gulfport–Biloxi International Airport,https://www.airlinequality.com/airport-reviews/gulfport-airport
118,FCA,155,"Kalispell, MT: Glacier Park International", Glacier Park International Airport,Glacier Park International Airport,https://www.airlinequality.com/airport-reviews/glacier-park-airport
119,MGM,134,"Montgomery, AL: Montgomery Regional", Montgomery Regional Airport,Montgomery Regional Airport,https://www.airlinequality.com/airport-reviews/montgomery-regional-airport
120,RST,132,"Rochester, MN: Rochester International", Rochester International Airport,Greater Rochester International Airport,https://www.airlinequality.com/airport-reviews/greater-rochester-airport
121,IDA,130,"Idaho Falls, ID: Idaho Falls Regional", Idaho Falls Regional Airport,Idaho Falls Regional Airport,https://www.airlinequality.com/airport-reviews/idaho-falls-regional-airport
122,MLU,129,"Monroe, LA: Monroe Regional", Monroe Regional Airport,Monroe Regional Airport,https://www.airlinequality.com/airport-reviews/monroe-regional-airport
123,TRI,125,"Bristol/Johnson City/Kingsport, TN: Tri Cities", Tri Cities Airport,Tri-Cities Airport,https://www.airlinequality.com/airport-reviews/tri-cities-airport
124,AEX,120,"Alexandria, LA: Alexandria International", Alexandria International Airport,Alexandria International,https://www.airlinequality.com/airport-reviews/alexandria-intl-airport
125,BMI,118,"Bloomington/Normal, IL: Central Illinois Regional", Central Illinois Regional Airport,Central Illinois Regional Airport,https://www.airlinequality.com/airport-reviews/bloomington-airport
126,DAB,116,"Daytona Beach, FL: Daytona Beach International", Daytona Beach International Airport,Daytona Beach International Airport,https://www.airlinequality.com/airport-reviews/daytona-beach-airport
127,ROA,116,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field", Roanoke Blacksburg Regional Woodrum Field Airport,Roanoke–Blacksburg Regional Airport,https://www.airlinequality.com/airport-reviews/roanoke-regional-airport
128,MLB,95,"Melbourne, FL: Melbourne International", Melbourne International Airport,Orlando Melbourne International Airport,https://www.airlinequality.com/airport-reviews/melbourne-usa-airport
